,pathway_id,pathway_name,metabolite,genes_uniprot,genes_symbol,q_value
0,R-HSA-388396,GPCR downstream signalling,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16755;CHEBI:16359;CHEBI:16325;CHEBI:15555;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P09683', 'P63092', 'P50150', 'Q5JWF2']",,0.09712683518796404
1,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16556,"['Q11201', 'Q11206']",,0.04243996937613518
2,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:17659,['P51654'],,0.04243996937613518
3,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16264,['P51654'],,0.04243996937613518
4,R-HSA-212165,Epigenetic regulation of gene expression,CHEBI:16680,"['O00422', 'Q9UBC3', 'Q9BTM1']",,0.08752159976049523
5,R-HSA-9694516,SARS-CoV-2 Infection,CHEBI:16556,"['Q11201', 'Q11206']",,0.1559351329246395
6,R-HSA-9694516,SARS-CoV-2 Infection,CHEBI:17659,['Q10472'],,0.1559351329246395
7,R-HSA-212436,Generic Transcription Pathway,CHEBI:16680,['Q9BTM1'],,0.04243996937613518
8,R-HSA-1280218,Adaptive Immune System,CHEBI:16027,"['Q9Y252', 'Q8WVD3', 'Q9Y508', 'Q6ZMZ0', 'Q8WXK4', 'Q8N461', 'Q13042']",,0.04243996937613518
9,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,CHEBI:17659,['P51654'],,0.08752159976049523
10,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,CHEBI:16264,['P51654'],,0.08752159976049523
11,R-HSA-74160,Gene expression (Transcription),CHEBI:16027,['O00268'],,0.06567031913052195
12,R-HSA-74160,Gene expression (Transcription),CHEBI:16680,"['O00422', 'Q9Y2W6', 'Q9UBC3', 'Q9BTM1']",,0.06567031913052195
13,R-HSA-73857,RNA Polymerase II Transcription,CHEBI:16027,['O00268'],,0.1935272653283916
14,R-HSA-73857,RNA Polymerase II Transcription,CHEBI:16680,['Q9BTM1'],,0.1935272653283916
15,R-HSA-5668914,Diseases of metabolism,CHEBI:16680,['P23526'],,0.036030617259854125
16,R-HSA-5668914,Diseases of metabolism,CHEBI:16264,['P51654'],,0.036030617259854125
17,R-HSA-418555,G alpha (s) signalling events,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16359;CHEBI:16755;CHEBI:15555;CHEBI:16325;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P09683', 'P63092', 'P50150', 'Q5JWF2']",,0.04529764753661127
18,R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",CHEBI:16556,"['P61647', 'Q969X2', 'Q11201', 'Q9UNP4', 'Q11206']",,0.05798840016722484
19,R-HSA-446219,Synthesis of substrates in N-glycan biosythesis,CHEBI:16556,"['P61647', 'Q969X2', 'Q11201', 'Q9UNP4', 'Q11206']",,0.0622115898737399
20,R-HSA-372790,Signaling by GPCR,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16359;CHEBI:16755;CHEBI:16325;CHEBI:15555;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18397;CHEBI:18243;CHEBI:18295;CHEBI:28918;CHEBI:28834,"['P09683', 'P63092', 'P50150', 'Q5JWF2']",,0.0809446257511635
21,R-HSA-168256,Immune System,CHEBI:16027,"['Q9Y252', 'Q8WVD3', 'Q9Y508', 'P05161', 'Q6ZMZ0', 'Q8WXK4', 'Q8N461', 'Q13042']",,0.04243996937613518
22,R-HSA-983169,Class I MHC mediated antigen processing & presentation,CHEBI:16027,"['Q9Y252', 'Q8WVD3', 'Q9Y508', 'Q6ZMZ0', 'Q8WXK4', 'Q8N461', 'Q13042']",,0.0
