,1,2,sigmoidal
ENSG00000002745,0.9178572469045885,0.9745503769705278,0.9546114329314913
ENSG00000003096,0.2929344608879487,0.6480982264665753,0.688923327178405
ENSG00000004399,0.3288039867109638,0.5402828784119103,0.28807652615702134
ENSG00000004838,0.45627661510464035,0.7324494584837544,0.6723091521624222
ENSG00000005249,0.40719874476987444,0.6727690417690414,0.43318451779726047
ENSG00000005981,0.5966961613532857,0.862088252148997,0.5775863578269165
ENSG00000006071,0.4508328716528163,0.7933368185212847,0.7542822607657244
ENSG00000006282,0.9983550945698596,0.9071847879083375,0.9271829591597033
ENSG00000006377,0.5325057647963104,0.8177560339204175,0.8042128597778885
ENSG00000006744,0.7508298086606242,0.8424702271332104,0.6904858174414786
ENSG00000007202,0.7961525658807213,0.6941496746203903,0.8925506133468417
ENSG00000009694,0.7708240384615385,0.9543773737373737,0.8597024842051658
ENSG00000009830,0.3601885856079403,0.7221384471468658,0.23159409607048345
ENSG00000010327,0.9435434857339292,0.9361457179377929,0.9830571394310685
ENSG00000010932,0.9037679640718562,0.9932914463452566,0.972788169446639
ENSG00000012171,0.9743160621761658,0.9813616331821127,0.9545589125900007
ENSG00000016082,0.8489463537300923,0.9745503769705278,0.9703049894116461
ENSG00000017427,0.39965859030837,0.8052852326365475,0.4417708513708517
ENSG00000017797,0.2632180851063832,0.5754069767441858,0.8513171228742462
ENSG00000018280,0.5777261987491313,0.9057374749498999,0.9411337244945502
ENSG00000019169,0.7470071721311474,0.9299002601908066,0.9138843850009913
ENSG00000021826,0.6127012002526846,0.8669726962457337,0.7923905935613681
ENSG00000025039,0.8838683901292597,0.8361904161412357,0.9344121524277511
ENSG00000026652,0.3243084745762709,0.6427851002865325,0.3395998198545968
ENSG00000027644,0.8100223214285714,0.9695119091242214,0.9178401746351068
ENSG00000028277,0.6395412402167371,0.9251244794076814,0.8309436415928421
ENSG00000030419,0.22116201117318252,0.536845144356954,0.411303896103896
ENSG00000031003,0.8419396001701404,0.9286293142088748,0.871652911231051
ENSG00000033122,0.689841483979764,0.9336524731182794,0.7438875410303981
ENSG00000033170,0.16291358024690922,0.2443703703703638,0.21662617374745594
ENSG00000036530,0.8304774305555557,0.9745503769705278,0.9092936430379114
ENSG00000039600,0.9025449079293498,0.9813616331821127,0.9835834225562634
ENSG00000043591,0.22116201117318252,0.3299000000000003,0.17900162778079315
ENSG00000047346,0.3601885856079403,0.705446540880503,0.45333058504242674
ENSG00000047617,0.739930749354005,0.8518544600938965,0.8114608858247981
ENSG00000048052,0.9940796542142636,0.9057374749498999,0.9990261788262377
ENSG00000049130,0.2477064846416372,0.44840776699029167,0.0
ENSG00000050438,0.899840574234983,0.9261938728852309,0.8930224900024278
ENSG00000054598,0.6309006785934609,0.8122620144832127,0.7382374991804377
ENSG00000055732,0.3041162324649294,0.6680474999999997,0.3475429138005825
ENSG00000055955,0.8706803874092008,0.9745503769705278,0.9314002871336493
ENSG00000058091,0.9533909520594193,0.9540243013365735,0.9703049894116461
ENSG00000058404,0.9923654443753883,0.9911699554423934,0.9980602590220913
ENSG00000059804,0.7643829374697043,0.9456771004942339,0.8309436415928421
ENSG00000060656,0.8883881172839506,0.9813616331821127,0.9534074566274052
ENSG00000060709,0.5095800482703133,0.8945265370467683,0.3227766531713897
ENSG00000063015,0.967937643583853,0.9881164799999999,0.9830571394310685
ENSG00000063127,0.38094688221709,0.5713731958762884,0.3261837547391101
ENSG00000064042,0.3850091533180773,0.675892682926829,0.4400709853384311
ENSG00000064218,0.43510433070866106,0.608326241134751,0.4417708513708517
ENSG00000064300,0.9985401948842875,0.9787257298031229,0.9996119093630845
ENSG00000064652,0.34324855491329404,0.6851196388261849,0.38039122990089524
ENSG00000064692,0.8492202256581695,0.6641695364238407,0.6382207541377812
ENSG00000065559,0.3443244005641747,0.608326241134751,0.2056989649582239
ENSG00000065833,0.8283452484742807,0.960186083499006,0.9031928888888887
ENSG00000066405,0.4777862068965515,0.8352966751918157,0.8358163545280748
ENSG00000066468,0.3288039867109638,0.6687713226205189,0.5157250591408382
ENSG00000066926,0.35756903225806436,0.6879080717488788,0.5486089018711862
ENSG00000067048,0.8502010008340284,0.9695119091242214,0.9904997916227879
ENSG00000067057,0.26167705382436285,0.5754069767441858,0.0
ENSG00000067798,0.927880269217145,0.9336524731182794,0.9271829591597033
ENSG00000068784,0.16291358024690922,0.3299000000000003,0.1590390486903442
ENSG00000068831,0.899840574234983,0.9437540777917188,0.9819641849916695
ENSG00000069188,0.5203470031545739,0.7600637254901962,0.3762441242197739
ENSG00000069431,0.631852670349908,0.7543788395904437,0.7704231949071476
ENSG00000069493,0.23252863436123206,0.4350329670329654,0.24491947378319795
ENSG00000069535,0.39965859030837,0.7716656200941914,0.7542295381801558
ENSG00000070182,0.5311083591331268,0.8918099260823654,0.9002504402962069
ENSG00000070601,0.9539011686143573,0.9941068654861759,0.9815716099395908
ENSG00000071205,0.8638952536824878,0.7221384471468658,0.688923327178405
ENSG00000071575,0.0,0.1609268292682839,0.14348469032707295
ENSG00000072182,0.9738270481144344,0.9930239294710327,
ENSG00000072210,0.3601885856079403,0.6480982264665753,0.17900162778079315
ENSG00000072310,0.8361652249134947,0.9695119091242214,0.9240605992593425
ENSG00000072694,0.5680705716302044,0.9071847879083375,0.9499171452009845
ENSG00000073756,0.47004221635883886,0.7011689691817213,0.38039122990089524
ENSG00000074211,0.6597999999999997,0.8433828775267539,0.8042128597778885
ENSG00000074356,0.3634149326805384,0.7600637254901962,0.4281046998923691
ENSG00000074800,0.6244682440846823,0.9071847879083375,0.31919444626819804
ENSG00000074855,0.3373413533834584,0.6680474999999997,0.2056989649582239
ENSG00000075336,0.4427769376181472,0.7713301737756713,0.7822493293374191
ENSG00000075884,0.9124119161456418,0.9071847879083375,0.9411337244945502
ENSG00000077264,0.8283452484742807,0.6879080717488788,0.7292627644931488
ENSG00000078018,0.9264877355136865,0.9695119091242214,0.9703049894116461
ENSG00000078043,0.24139024390243924,0.4067260273972606,0.1714701525507424
ENSG00000078177,0.4974465617232807,0.5953996316758746,0.28807652615702134
ENSG00000078596,0.4452258669165882,0.7600637254901962,0.7551806759894616
ENSG00000078795,0.9309347442680778,0.7221384471468658,0.9587778673616709
ENSG00000079134,0.3041162324649294,0.5458199513381992,0.31536645807443126
ENSG00000079156,0.783706103286385,0.7685467511885894,0.8309436415928421
ENSG00000079215,0.6141534591194967,0.8900116834838024,0.8957726229287895
ENSG00000079689,0.6981817174515235,0.9557727090836334,0.9538584036155296
ENSG00000080166,0.7994833104709649,0.9385926551287461,0.9271829591597033
ENSG00000080561,0.31592633517495355,0.608326241134751,0.4610136906249075
ENSG00000080709,0.4508328716528163,0.7907715355805242,0.8198272756704011
ENSG00000080854,0.9774814814814814,0.9959626454378444,0.9904997916227879
ENSG00000081041,0.906614074074074,0.9745503769705278,0.8342755987889118
ENSG00000081138,0.7545237623762376,0.9437540777917188,0.8555497925311203
ENSG00000082126,0.9309347442680778,0.9813616331821127,0.9566616531092955
ENSG00000082397,0.7873139915769771,0.9464344262295081,0.9488093608552485
ENSG00000082497,0.5593132183908046,0.6174904679376082,0.43556289048685565
ENSG00000083067,0.905176121616611,0.9911699554423934,0.7438875410303981
ENSG00000083720,0.0,0.0,0.17900162778079315
ENSG00000084444,0.47004221635883886,0.8375805849408835,0.5206161065352468
ENSG00000084628,0.9409479848432656,0.9754743326488706,0.9703360474177166
ENSG00000084734,0.5325057647963104,0.8433828775267539,0.5478696428571427
ENSG00000085265,0.9760607235142119,0.9745503769705278,0.9325300779110648
ENSG00000086159,0.8760721363456203,0.9745503769705278,0.9271829591597033
ENSG00000086717,0.8575215231788077,0.9286293142088748,0.9538386475961582
ENSG00000087191,0.7052664134563212,0.5737391304347824,0.7430925216274227
ENSG00000087302,0.34110782865583433,0.5510744920993225,0.1860373315287861
ENSG00000087589,0.5858879781420765,0.9007967396841567,0.7168092540913821
ENSG00000088881,0.8092444046553269,0.9745503769705278,0.8619572740091865
ENSG00000088992,0.9319471644945404,0.9813616331821127,0.8799679914643906
ENSG00000089101,0.26167705382436285,0.5737391304347824,0.1940488357216899
ENSG00000089199,0.4484674115456236,0.8004752333094042,0.5842992771642113
ENSG00000089692,0.4043935483870963,0.728390064397424,0.4171638709677418
ENSG00000090104,0.4860508044030481,0.8004752333094042,0.8717530807999955
ENSG00000090554,0.439005870841487,0.6879080717488788,0.43318451779726047
ENSG00000090857,0.9194324909747293,0.9456771004942339,0.8547725207941926
ENSG00000090975,0.7994833104709649,0.9745503769705278,0.8691255446347147
ENSG00000091129,0.8000299727520436,0.9094110843373493,0.8547725207941926
ENSG00000091513,0.905176121616611,0.9813616331821127,0.9631665453182333
ENSG00000091583,0.9409479848432656,0.6851196388261849,0.9615487561079956
ENSG00000091592,0.9616164292812189,0.9978147585788035,0.9787132701163815
ENSG00000091622,0.4390183220829316,0.8071082887700535,0.40067528177225037
ENSG00000091640,0.38094688221709,0.6480982264665753,0.17900162778079315
ENSG00000091831,0.5888681541582148,0.8071082887700535,0.7421126628550005
ENSG00000092054,0.8958382913806254,0.9557727090836334,0.9411337244945502
ENSG00000092295,0.7616785192401364,0.9035159171298637,0.5675555910831832
