,sigmoidal,1,2,3
ENSG00000000003,0.528325036730593,0.9466829122741662,0.7393415783208037,0.9306319833133512
ENSG00000000005,0.6620222515553416,0.9466829122741662,0.7065398624383147,0.878779069364114
ENSG00000000419,0.3922379076274993,0.9466829122741662,0.6444249799036376,0.8734663915091438
ENSG00000000457,0.6962814865179437,0.9712661381878878,0.7277736015516012,0.9029933957236763
ENSG00000000460,0.4012148004472431,0.9466829122741662,0.6390741405000374,0.8912563805404776
ENSG00000000938,0.9263859821899348,0.9745817963592145,0.9446434107645472,0.9930294422290689
ENSG00000000971,0.9691463130467447,0.9999823040147895,0.9959410699581408,0.9998626633208519
ENSG00000001036,1.0,0.9975475747704668,0.9698954727641113,0.9774469702656854
ENSG00000001084,0.5028000946590916,0.9466829122741662,0.7065398624383147,0.9059928199900611
ENSG00000001167,0.9593384015675958,0.9994591205871648,0.8387939482417235,0.8919304184562836
ENSG00000001460,0.7499959665292697,0.9466829122741662,0.6932341657319774,0.8912563805404776
ENSG00000001461,0.6443523291535606,0.9466829122741662,0.7466126080927415,0.9448540331881918
ENSG00000001497,0.49660753298606136,0.9466829122741662,0.5731594964214248,0.8224825598149137
ENSG00000001561,0.923132855014741,0.9999823040147895,0.9893910451828929,0.9029933957236763
ENSG00000001617,0.8358901941869822,0.9466829122741662,0.6640437210764141,0.9209939542163342
ENSG00000001626,1.0,0.9561063389273255,0.6122409042316761,0.8912563805404776
ENSG00000001629,0.8136763265874387,0.973671789177575,0.8149577195935558,0.974489692774297
ENSG00000001630,1.0,0.9999823040147895,0.9416982673306614,0.9934822638975196
ENSG00000001631,1,0.9999823040147895,0.8213857341435836,0.9701788264473366
ENSG00000002016,0.8345834196142973,0.9721275826284803,0.9368950503243916,0.9967276820379409
ENSG00000002079,0.766003455409464,0.9567317454842583,0.6239123824106859,0.8914511045435437
ENSG00000002330,1.0,0.9561063389273255,0.8741534898918655,0.9845587315649866
ENSG00000002549,0.8266152762112371,0.9466829122741662,0.5510251453665621,0.8336580220609847
ENSG00000002586,0.6553265882031383,0.9500222514840044,0.7836358722667401,0.9448540331881918
ENSG00000002587,0.8104202683864394,0.9466829122741662,0.7413249357518088,0.952093499408231
ENSG00000002726,0.8738657603713347,0.9466829122741662,0.7022534795933029,0.8336580220609847
ENSG00000002745,1.0,0.9999823040147895,0.9555082570593352,0.9209939542163342
ENSG00000002746,1.0,0.9999823040147895,0.9884823483715699,0.9992485468362092
ENSG00000002822,1,0.9999823040147895,0.9716954493216527,0.9970719745460638
ENSG00000002834,1,0.9669026847362721,0.8169925261021048,0.9755557678794428
ENSG00000002919,0.7516537858428786,0.9625079209997823,0.7171101765385895,0.9431657217886829
ENSG00000002933,0.30257737476053925,0.9466829122741662,0.5890525633768037,0.8406303925962197
