,Cecum,Ascending colon,Hepatic flexure of colon,Transverse colon,Descending colon,Sigmoid colon,Rectosigmoid junction,"Rectum, NOS"
ENSG00000000003,33.034016093333506,37.57370838017425,58.27119926552798,30.1819806376086,50.0045796226467,45.24391086206748,40.738916450702476,34.11751092396321
ENSG00000000005,0.846985234275261,0.6603117523129101,1.33677246343041,0.7057424644798855,1.1638341999227535,1.394549065959009,1.5592085577404549,0.895605371809279
ENSG00000000419,32.752342836127596,28.834417164978547,27.77453409900791,24.91360414207365,76.0602631997036,49.67336758348251,47.2961084785228,44.52657770500599
ENSG00000000457,1.5497213563626104,1.2060979940538252,1.9099747887043295,1.6337802034096103,1.147258363156455,1.6408505642344204,1.7094161304302853,1.4938448768601402
ENSG00000000460,1.3808516865705998,1.584755920139465,1.46354769648465,1.3992072115191805,1.9975858228299952,1.6358653300797998,1.425587784627595,1.91572289712912
ENSG00000000938,2.74140744484221,3.6208033465159897,2.68931037647215,2.014958283923735,2.419073039720927,2.4515002623242754,1.7055038563333802,2.1611191823292497
ENSG00000000971,2.98760561774472,4.21730757291758,3.43377753097909,3.499004808862435,4.2178962189943805,3.4982632874927346,2.9510344839042855,3.02621206899614
ENSG00000001036,23.419397756504196,19.911537466309696,21.514698810005,21.18242783154851,28.00294724218015,21.355767401340458,20.191632784095603,23.4551607157112
ENSG00000001084,4.874149859868599,3.6906730669373484,2.855081096799301,4.341332431950196,4.8173951598309,5.09738971158355,5.06571454167065,4.6072198426075985
ENSG00000001167,5.3294354037467,5.951088207498849,3.0415145377101993,8.00655537218665,9.5124098482386,5.04056418816565,6.750409256404948,7.2733810487387025
ENSG00000001460,0.8327046739569899,0.8230715659468448,0.41393311132963007,0.952447442307705,0.4482676914758801,0.8996942979805198,0.6965666602058249,0.7360674122033699
ENSG00000001461,3.4707979172021,3.321941075466049,3.7947465388494503,3.3816824610059504,3.1268516484169897,3.196652405160605,1.9692773578510145,3.0338902253161013
ENSG00000001497,7.617470107828797,7.302999251401349,10.5007684274698,8.094672401224152,10.717380175479798,13.278713957773101,9.3309715167923,9.4160107336651
ENSG00000001561,6.102617749194501,4.48408269450025,2.7211833044911007,5.256602502975101,6.905936414164501,5.1917401486657,6.4448766056069,5.0195728522705
ENSG00000001617,10.2949262484033,8.980896205768053,8.930345078383658,12.922898989098451,10.164928915706849,9.035118768565546,9.309516372129849,10.897362314299802
