,Cecum,Ascending colon,Hepatic flexure of colon,Transverse colon,Descending colon,Sigmoid colon,Rectosigmoid junction,"Rectum, NOS"
ENSG00000000003,73.6378312539175,79.62923980539824,103.124233314204,75.9138777710173,82.54399311837895,135.09429206076402,131.56410750531302,100.136352021329
ENSG00000000005,0.992449485004171,0.7590695478692076,1.33677246343041,0.7987970455312425,1.68045316472618,1.607038312629245,1.8291349265997,1.40253832048468
ENSG00000000419,100.154703341825,105.029085623269,117.657758801335,97.6262253882106,154.40187207405,173.67444354310902,138.0326506894355,142.622255927662
ENSG00000000457,6.91202891799006,6.640370921548815,7.00486096011129,7.278463835405475,7.11381214116026,7.11015343196518,7.17429430607669,6.94405213734617
ENSG00000000460,5.26661632030974,4.969358332965156,5.42493661054705,4.84417781835301,6.05778172059456,5.917230892885225,5.613395109503335,6.10947513253886
ENSG00000000938,4.06639652830716,5.805217377974735,4.23926759107147,4.98762308077233,3.1159028151693446,4.546051657286926,4.25173807869004,3.62580005839882
ENSG00000000971,5.33040439752017,7.199769271406615,4.93786252803273,5.92998764120448,5.396023805087935,5.668929628943595,6.04103792958202,5.57879977013532
ENSG00000001036,101.101690823437,103.2911415936305,91.7701415547415,100.090755772149,107.829490457222,102.9424000316045,99.75092832323566,99.9300657583938
ENSG00000001084,17.876386081766,18.0636455445427,17.0531488904391,19.357890364692203,21.6878752639158,19.5658870296629,19.3292447331002,19.8487530160463
ENSG00000001167,29.9456197149461,26.9939126688699,26.5484049462331,26.0740845986681,27.0488471465064,30.5381402730768,27.835128961874453,28.8697800858815
ENSG00000001460,3.58033103948782,3.44898348925023,3.74291871353187,3.772488761310075,3.650693410529115,3.329335645622945,3.225192648909685,3.27037897375868
ENSG00000001461,14.1962177054863,13.3503480693558,13.3662860548341,15.577077904256349,12.67493629686985,12.73823838973445,11.59461397817515,12.3221546954842
ENSG00000001497,30.7737827804921,28.7292628008709,32.5612839016865,33.4717325592907,33.55334248613775,39.77427587624785,36.4304712285882,36.2133122373751
ENSG00000001561,19.4169107607748,18.57138989710925,15.1615642269428,16.6140063252711,22.510415319231,19.52231056147695,20.5146231685873,16.4070819007421
ENSG00000001617,25.2715903933559,19.508046447617453,18.8529583339325,26.007391613704648,23.6499679699642,22.610788597569297,25.07430544558935,30.9969361448311
ENSG00000001626,51.7639782220337,58.6575062205309,77.3266318765224,66.0089798972811,74.69160439913995,79.33629030894815,66.43981589203551,64.5075645846724
